CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Groceries,Freedom Flex,2429.0,27.49,Chase Freedom Flex,Groceries,2025-02-16,False,Moms Of Center City,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Freedom Flex,27.49,Chase Freedom Unlimited,1.5,41.24,13.750000000000004,False
Dining,Chase Sapphire,6143.0,29.3,Chase Sapphire Preferred,Restaurants & Bars,2025-02-14,False,J?aime French Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,87.9,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,87.9,0.0,True
Dining,Chase Sapphire,6143.0,34.98,Chase Sapphire Preferred,Restaurants & Bars,2025-02-14,False,Wine And Spirits,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,104.94,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,104.94,0.0,True
Dining,Chase Sapphire,6143.0,200.0,Chase Sapphire Preferred,Restaurants & Bars,2025-02-14,False,Mercato,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,600.0,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,600.0,0.0,True
Dining,Chase Sapphire,6143.0,0.25,Chase Sapphire Preferred,Restaurants & Bars,2025-02-13,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,0.75,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,0.75,0.0,True
Dining,Chase Sapphire,6143.0,7.02,Chase Sapphire Preferred,Restaurants & Bars,2025-02-13,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,21.06,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,21.06,0.0,True
Other,Chase Sapphire,6143.0,65.14,Chase Sapphire Preferred,Shops,2025-02-13,False,Amazon.com*so8ta1um3,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,Whey Protein,posted,,regular,1.0,Chase Sapphire Preferred,65.14,Chase Freedom Unlimited,1.5,97.71,32.56999999999999,False
Other,Chase Sapphire,6143.0,10.0,Chase Sapphire Preferred,Health Care,2025-02-13,False,Edmonds Eye Associates,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,10.0,Chase Freedom Unlimited,1.5,15.0,5.0,False
Streaming,Chase Sapphire,6143.0,10.59,Chase Sapphire Preferred,Subscriptions,2025-02-13,False,Apple.com-bill,,True,Chase Sapphire Preferred,3.0,"Matched override: openai, chatgpt, netflix, spotify, apple.com-bill",Standard of Living,AppleTV,posted,,regular,3.0,Chase Sapphire Preferred,31.77,Chase Sapphire Preferred,3.0,31.77,0.0,True
Groceries,Chase Sapphire,6143.0,13.88,Chase Sapphire Preferred,Groceries,2025-02-13,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,13.88,Chase Freedom Unlimited,1.5,20.82,6.9399999999999995,False
Drugstores,Chase Sapphire,6143.0,19.91,Chase Sapphire Preferred,Shops,2025-02-12,False,Cvs,,True,Chase Freedom Flex,3.0,"Matched override: cvs, walgreens, rite aid",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,19.91,"Chase Freedom Unlimited, Chase Freedom Flex",3.0,59.73,39.81999999999999,False
Other,Chase Sapphire,6143.0,70.05,Chase Sapphire Preferred,Shops,2025-02-12,False,Open House,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,70.05,Chase Freedom Unlimited,1.5,105.07,35.019999999999996,False
Drugstores,Chase Sapphire,6143.0,2.72,Chase Sapphire Preferred,Shops,2025-02-12,False,Cvs,,True,Chase Freedom Flex,3.0,"Matched override: cvs, walgreens, rite aid",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,2.72,"Chase Freedom Unlimited, Chase Freedom Flex",3.0,8.16,5.4399999999999995,False
