"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-09-14","Swa Inflight Wifi",8,"posted","Shops","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-14","Canyon Trading Ii",15.45,"posted","Shops","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-14","Southwes Txname: Briglia-andrew Domenic Depart:09-14-2025 Den To Phl: Wn: Class:y : Stop:",35,"posted","Travel & Vacation",,true,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-14","The Frothy Cup Llc",12.58,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-14","Conoco",24.99,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-13","Uber",31.91,"posted","Ubers/Septa","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-09-13","Cecilias",18.33,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-13","Haywood Cafe",54,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-13","Rmu Retail Llc",29.85,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-13","Cecilias",20,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-13","The Golden Mill",24.09,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-12","Venmo",15,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-12","Payment Thank You-mobile",-19.07,"posted","",,true,,"internal transfer","Freedom Flex","2429",,""
"2025-09-12","Breckenrid* Oktoberfes",20,"posted","Ubers/Septa","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-12","Lyft",46.43,"posted","Ubers/Septa","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-12","Chick-fil-a",12.99,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-11","Venmo",10,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-11","Venmo",-138.99,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-11","Ptc Ez Pass Auto Re",50,"posted","Car/Gas","Standard of Living",false,,"regular","Chase Sapphire","6143",,""
"2025-09-11","Habitat Restaurant",5.25,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-11","Danny Conlon ""trivia""",15,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-10","Fd Sptsbk Casino Viatrustly",-8,"posted","Entertainment","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-10","Barbers & Gents Ll",57.2,"posted","Personal Care","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-10","Costco",-117,"posted","Groceries","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-10","Standard",138.99,"posted","",,true,,"regular","Personal Profile",,,""
"2025-09-10","Greg Davidov ""haircut And Tips""",10,"posted","Personal Care","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-09","Costco",2.65,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-09","Costco",278.96,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-09","Halal King Gyro",9,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-08","Chase Credit Crd",632.99,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-08","Fd Sptsbk Casino Viatrustly",-16,"posted","Entertainment","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-08","Venmo",109.31,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-08","Fd Sptsbk Casino Viatrustly",20,"posted","Entertainment","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-08","Moms Of Center City",2.79,"posted","Groceries","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-07","Payment Thank You-mobile",-632.99,"posted","",,true,,"internal transfer","Freedom Unlimited","1093",,""
"2025-09-07","Sheetz",10.04,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-07","Moes Sw Grill",25.44,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-06","Sheetz",41.83,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-06","Psu Creamery University Pk",26.25,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-05","Comcast",70,"posted","Rent/Utilities","Standard of Living",false,,"regular","Usaa Classic Checking","6726",,"Wifi Monthly"
"2025-09-05","State College Parkmobi",3.45,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-05","Open House",47.52,"posted","Shops","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-05","Marathon",28.25,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-05","Elixr Coffee",42,"posted","Gifts","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-05","Maggie Forker ""bezos Oopsie 🤭""",109.31,"posted","Shops","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-04","Paypal",5,"posted","Entertainment","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-09-04","Merck Sharp And",-2686.53,"posted","",,true,,"income","Usaa Classic Checking","6726",,""
"2025-09-04","Netflix",19.07,"posted","Subscriptions","Standard of Living",false,,"regular","Freedom Flex","2429",,"Netflix"
"2025-09-03","Offer:youtube Tv",-20,"posted","Subscriptions","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-09-03","New Image Art & Framin",86.4,"posted","Gifts","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-03","Merchant Offers Credit",-1.27,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-02","Venmo",-77.5,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-02","Venmo",-233,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
